"1","10","11","12","13","14","15","16","17","18","19","2","20","21","22","23","24","25","26","27","28","29","3","30","31","32","33","34","35","36","4","5","6","7","8","9","invalid","undetermined"
"UBE2I-AD-00148",19,1,6,8,4,5,65,122,9,5,3,0,3,9,21,5,5,14,6,3,24,15,21,24,8,9,5,10,4,3,52,21,3,23,34,0,2,148
"UBE2I-AD-00150",668,496,627,639,99,256,171,370,425,387,115,194,186,102,252,537,301,37,79,38,717,538,370,712,92,40,99,58,37,127,788,574,546,508,360,410,6,483
"UBE2I-AD-00151",44,26,15,19,230,91,6,17,33,62,13,1,3,15,5,30,3,7,9,18,37,62,14,44,23,36,30,6,9,9,24,40,52,12,8,5,16,75724
"UBE2I-AD-00152",906,755,1056,860,229,454,385,976,588,554,234,781,258,195,151,278,302,23,94,67,1469,889,1267,1203,224,184,184,52,1071,81,1251,1237,895,1494,499,381,15,731
"UBE2I-AD-00154",4,0,49,30,332,298,630,0,0,39,171,2,45,11,70,54,135,0,106,5,48,27,36,80,12,0,14,2,16,1046,1,20,27,5,21,14,1,172
"UBE2I-AD-00157",56,1,65,11,8,11,8,0,5,2,15,3,13,12,20,3,3,1,1,1,47,9,110,16,2,1,0,1,2,1,2,33,10,14,1,1,2,854
"UBE2I-AD-00158",382,549,333,240,9,14,0,0,2,0,5,757,12,30,0,21,0,6,0,0,24,17,206,58,0,17,10,3,4,0,229,110,376,84,279,177,4,162
"UBE2I-AD-00159",41,17,0,0,4,1,2,0,2,0,0,1,0,0,0,2,1,2,0,0,1,40,0,11,0,0,0,18,1,0,3,10,42,9,1,0,0,116
"UBE2I-AD-00160",110,52,49,19,2,2,9,26,2,1,2,80,3,4,1,2,0,1,0,2,21,1,19,1,14,0,0,0,0,2,55,46,71,60,6,17,3,39785
"UBE2I-AD-00168",83,3,67,13,1,0,20,63,20,0,6,4,6,14,8,25,35,0,11,4,2,24,48,5,5,1,1,11,2,6,42,40,73,10,9,18,1,63
"UBE2I-AD-00169",2,7,23,9,0,7,6,29,25,2,0,2,7,2,12,17,36,1,5,5,37,7,17,19,0,1,0,0,1,20,23,16,16,63,2,2,0,582
"UBE2I-AD-00171",8,2,21,20,9,37,24,48,6,4,4,8,3,3,5,3,8,2,0,1,52,8,46,18,3,0,1,5,11,1,86,53,7,13,2,19,6,992
"UBE2I-AD-00172",61,126,197,49,923,232,286,73,159,7,1094,0,158,643,284,831,381,194,85,17,72,23,1,66,6,0,61,0,42,1,0,43,59,30,0,11,4,217
"UBE2I-AD-00173",1,8,0,1,1,1,15,1,3,3,7,2,4,6,2,1,0,1,0,1,1,8,32,26,2,0,1,1,1,1,1,3,13,26,0,0,2,87
"UBE2I-AD-00174",69,83,107,52,0,1,15,0,2,0,10,11,8,8,26,2,0,0,14,1,22,25,49,86,13,0,3,5,0,8,56,30,278,16,21,23,0,374
"UBE2I-AD-00176",6,3,7,4,1,3,2,6,6,4,2,4,1,1,0,8,1,1,0,0,14,11,5,14,3,1,1,10,0,0,10,8,8,10,7,5,0,82
"UBE2I-AD-00177",25,0,1,2,1,0,1,0,2,0,2,0,4,1,2,1,0,0,1,1,0,3,15,26,0,0,1,6,0,0,12,4,0,25,0,1,2,186
"UBE2I-AD-00178",4,19,2,30,3,0,28,2,3,2,7,0,3,0,0,0,7,0,5,1,1,14,3,6,0,0,0,0,0,15,1,45,7,0,0,23,1,303
"UBE2I-AD-00180",10,10,85,52,211,132,389,0,31,0,43,24,12,12,122,3,66,22,2,51,58,18,69,11,6,0,11,6,0,8,7,1,23,44,7,5,1,102
"UBE2I-AD-00181",3,13,114,17,1,1,13,3,37,56,3,2,4,8,53,15,2,0,1,6,13,23,81,43,0,1,3,1,0,0,35,16,22,36,3,21,1,69
"UBE2I-AD-00183",29,0,2,1,28,22,43,14,129,0,13,1,0,1,30,4,4,5,1,3,5,9,1,2,0,0,5,16,0,1,3,9,4,2,0,0,0,36
